date,symbol,open,high,low,close
29/11/2019,AAPL,66.65,67,66.475,66.8125
02/12/2019,AAPL,66.8175,67.0625,65.8625,66.04
03/12/2019,AAPL,64.5775,64.8825,64.0725,64.8625
04/12/2019,AAPL,65.2675,65.8275,65.17,65.435
05/12/2019,AAPL,65.9475,66.4725,65.6825,66.395
06/12/2019,AAPL,66.87,67.75,66.825,67.6775
09/12/2019,AAPL,67.5,67.7,66.2275,66.73
10/12/2019,AAPL,67.15,67.5175,66.465,67.12
11/12/2019,AAPL,67.2025,67.775,67.125,67.6925
12/12/2019,AAPL,66.945,68.14,66.8303,67.865
13/12/2019,AAPL,67.865,68.825,67.7325,68.7875
16/12/2019,AAPL,69.25,70.1975,69.245,69.965
17/12/2019,AAPL,69.8925,70.4425,69.7,70.1025
18/12/2019,AAPL,69.95,70.475,69.78,69.935
19/12/2019,AAPL,69.875,70.295,69.7375,70.005
20/12/2019,AAPL,70.5575,70.6625,69.64,69.86
23/12/2019,AAPL,70.1325,71.0625,70.0934,71
24/12/2019,AAPL,71.1725,71.2225,70.7299,71.0675
26/12/2019,AAPL,71.205,72.495,71.175,72.4775
27/12/2019,AAPL,72.78,73.4925,72.03,72.45
30/12/2019,AAPL,72.365,73.1725,71.305,72.88
31/12/2019,AAPL,72.4825,73.42,72.38,73.4125
02/01/2020,AAPL,74.06,75.15,73.7975,75.0875
03/01/2020,AAPL,74.2875,75.145,74.125,74.3575
06/01/2020,AAPL,73.4475,74.99,73.1875,74.95
07/01/2020,AAPL,74.96,75.225,74.37,74.5975
08/01/2020,AAPL,74.29,76.11,74.289,75.7975
09/01/2020,AAPL,76.8088,77.6075,76.55,77.4075
10/01/2020,AAPL,77.65,78.1675,77.0625,77.5825
13/01/2020,AAPL,77.91,79.2675,77.7875,79.24
14/01/2020,AAPL,79.175,79.3925,78.0425,78.17
15/01/2020,AAPL,77.9625,78.875,77.3875,77.835
16/01/2020,AAPL,78.3975,78.925,78.0225,78.81
17/01/2020,AAPL,79.0675,79.685,78.75,79.6825
21/01/2020,AAPL,79.2975,79.755,79,79.1425
22/01/2020,AAPL,79.645,79.9975,79.3275,79.425
23/01/2020,AAPL,79.48,79.89,78.9125,79.8075
24/01/2020,AAPL,80.0625,80.8325,79.3797,79.5775
27/01/2020,AAPL,77.515,77.9425,76.22,77.2375
28/01/2020,AAPL,78.15,79.6,78.0475,79.4225
29/01/2020,AAPL,81.1125,81.9625,80.345,81.085
30/01/2020,AAPL,80.136,81.0225,79.6875,80.9675
31/01/2020,AAPL,80.2325,80.67,77.0725,77.3775
03/02/2020,AAPL,76.075,78.3725,75.555,77.165
04/02/2020,AAPL,78.8275,79.91,78.4086,79.7125
05/02/2020,AAPL,80.88,81.19,79.7375,80.3625
06/02/2020,AAPL,80.6425,81.305,80.0662,81.3025
07/02/2020,AAPL,80.5925,80.85,79.5,80.0075
10/02/2020,AAPL,78.545,80.3875,78.4625,80.3875
11/02/2020,AAPL,80.9,80.975,79.6775,79.9025
12/02/2020,AAPL,80.3675,81.805,80.3675,81.8
13/02/2020,AAPL,81.0475,81.555,80.8375,81.2175
14/02/2020,AAPL,81.185,81.495,80.7125,81.2375
18/02/2020,AAPL,78.84,79.9375,78.6525,79.75
19/02/2020,AAPL,80,81.1425,80,80.905
20/02/2020,AAPL,80.6575,81.1625,79.5525,80.075
21/02/2020,AAPL,79.655,80.1125,77.625,78.2625
24/02/2020,AAPL,74.315,76.045,72.3075,74.545
25/02/2020,AAPL,75.2375,75.6325,71.5325,72.02
26/02/2020,AAPL,71.6325,74.47,71.625,73.1625
27/02/2020,AAPL,70.275,71.5,68.24,68.38
28/02/2020,AAPL,64.315,69.6025,64.0925,68.34
