symbol,date,open,close,high,low,volume
AAPL,2022-05-09 11:00:00,155.17,155.01,155.5,154.85,14670
AAPL,2022-05-09 11:05:00,155.02,155.11,155.15,154.81,6932
AAPL,2022-05-09 11:10:00,155.13,155.18,155.28,155.09,5745
AAPL,2022-05-09 11:15:00,155.15,155.04,155.24,155,2677
AAPL,2022-05-09 11:20:00,155.09,154.74,155.1,154.7,8087
AAPL,2022-05-09 11:25:00,154.79,154.74,155,154.63,5955
AAPL,2022-05-09 11:30:00,154.72,154.21,154.75,154.2,11826
AAPL,2022-05-09 11:35:00,154.29,154.35,154.47,154.11,13157
AAPL,2022-05-09 11:40:00,154.27,154.37,154.46,154.27,8822
AAPL,2022-05-09 11:45:00,154.43,154.7,154.7,154.34,20017
AAPL,2022-05-09 11:50:00,154.56,154.6,154.74,154.45,6711
AAPL,2022-05-09 11:55:00,154.55,154.55,154.68,154.4,8463
AAPL,2022-05-09 12:00:00,154.52,154.43,154.55,154.41,1033
AAPL,2022-05-09 12:05:00,154.45,154.41,154.5,154.41,6765
AAPL,2022-05-09 12:10:00,154.42,154.65,154.7,154.4,5130
AAPL,2022-05-09 12:15:00,154.6,154.59,154.64,154.5,1146
AAPL,2022-05-09 12:20:00,154.54,154.74,154.86,154.54,5411
AAPL,2022-05-09 12:25:00,154.75,154.41,154.79,154.41,3640
AAPL,2022-05-09 12:30:00,154.48,154.4,154.55,154.4,5471
AAPL,2022-05-09 12:35:00,154.37,154.16,154.4,154.16,10254
AAPL,2022-05-09 12:40:00,154.18,154.37,154.37,154.16,15626
AAPL,2022-05-09 12:45:00,154.35,154.2,154.37,154.12,7341
AAPL,2022-05-09 12:50:00,154.26,154.14,154.33,154.14,3545
AAPL,2022-05-09 12:55:00,154.2,154.29,154.29,153.95,16242
AAPL,2022-05-09 13:00:00,154.25,154.29,154.37,154.11,2275
AAPL,2022-05-09 13:05:00,154.24,154.23,154.31,154.18,1891
AAPL,2022-05-09 13:10:00,154.24,154.19,154.29,154.15,8249
AAPL,2022-05-09 13:15:00,154.17,154.29,154.32,154.17,2259
AAPL,2022-05-09 13:20:00,154.3,154.22,154.34,154.22,2451
AAPL,2022-05-09 13:25:00,154.29,154.19,154.31,154.02,9410
AAPL,2022-05-09 13:30:00,154.11,153.84,154.19,153.84,9584
AAPL,2022-05-09 13:35:00,153.82,153.61,153.85,153.59,12935
AAPL,2022-05-09 13:40:00,153.63,153.32,153.67,153.3,15570
AAPL,2022-05-09 13:45:00,153.48,153.49,153.61,153.19,11255
AAPL,2022-05-09 13:50:00,153.52,153.39,153.61,153.16,9091
AAPL,2022-05-09 13:55:00,153.36,153.45,153.64,153.31,4215
AAPL,2022-05-09 14:00:00,153.66,153.65,154,153.5,57005
AAPL,2022-05-09 14:05:00,153.6,153.5,153.9,153.47,24473
AAPL,2022-05-09 14:10:00,153.47,153.46,153.6,153.31,45078
AAPL,2022-05-09 14:15:00,153.48,153.3,153.48,153.25,16777
AAPL,2022-05-09 14:20:00,153.29,153.06,153.29,152.9,84532
AAPL,2022-05-09 14:25:00,153.04,152.95,153.09,152.87,21199
AAPL,2022-05-09 14:30:00,152.92,153.24,153.24,152.77,52539
AAPL,2022-05-09 14:35:00,153.27,153,153.3,152.94,20186
AAPL,2022-05-09 14:40:00,153.04,153.21,153.32,152.95,38644
AAPL,2022-05-09 14:45:00,153.14,153.48,153.54,153.05,18359
AAPL,2022-05-09 14:50:00,153.46,153.65,153.78,153.32,30396
AAPL,2022-05-09 14:55:00,153.68,153.72,153.93,153.59,52028
AAPL,2022-05-09 15:00:00,153.75,153.87,155.5,152.88,355352
AAPL,2022-05-09 15:05:00,153.86,153.98,154.21,153.75,108190
AAPL,2022-05-09 15:10:00,153.88,153.62,153.939,153.57,48006
AAPL,2022-05-09 15:15:00,153.7,153.31,153.79,153.28,35871
AAPL,2022-05-09 15:20:00,153.36,153.56,153.6,153.3,68180
AAPL,2022-05-09 15:25:00,153.59,153.45,153.67,153.33,47438
AAPL,2022-05-09 15:30:00,153.4,153.58,153.75,153.18,48812
AAPL,2022-05-09 15:35:00,153.65,154.15,154.15,153.601,54375
AAPL,2022-05-09 15:40:00,154.08,154.21,154.65,153.965,120726
AAPL,2022-05-09 15:45:00,154.2,154.22,154.3,153.81,56419
AAPL,2022-05-09 15:50:00,154.26,154.22,154.44,154.02,34223
AAPL,2022-05-09 15:55:00,154.23,154.02,154.23,154.01,46804
AAPL,2022-05-09 16:00:00,154.1,153.78,154.1,153.67,113102
AAPL,2022-05-09 16:05:00,153.825,153.9,153.98,153.7,39527
AAPL,2022-05-09 16:10:00,153.88,154.41,154.41,153.71,50369
AAPL,2022-05-09 16:15:00,154.4,153.91,154.42,153.82,2698465
AAPL,2022-05-09 16:20:00,153.95,154.3,154.3,153.8,46013
AAPL,2022-05-09 16:25:00,153.88,154.97,154.97,153.81,136097
AAPL,2022-05-09 16:30:00,154.71,154.96,155.751,154.435,4232808
AAPL,2022-05-09 16:35:00,155.01,155.29,155.82,154.84,2543270
AAPL,2022-05-09 16:40:00,155.185,155.045,155.56,154.65,7540016
AAPL,2022-05-09 16:45:00,154.99,154,155.01,153.46,2639096
AAPL,2022-05-09 16:50:00,154.01,154.3,154.42,153.57,2191466
AAPL,2022-05-09 16:55:00,154.25,153.51,154.37,153.394,1768340
AAPL,2022-05-09 17:00:00,153.55,153.38,153.79,153.12,2090528
AAPL,2022-05-09 17:05:00,153.42,153.11,153.652,153.11,1448304
AAPL,2022-05-09 17:10:00,153.099,153.76,153.99,153.099,1628229
AAPL,2022-05-09 17:15:00,153.74,153.39,154.07,153.19,1318447
AAPL,2022-05-09 17:20:00,153.4,153.71,153.93,153.265,1282517
AAPL,2022-05-09 17:25:00,153.68,153.172,153.89,153.16,1409987
AAPL,2022-05-09 17:30:00,153.19,153.27,153.365,152.84,1829958
AAPL,2022-05-09 17:35:00,153.264,152.896,153.48,152.795,1441069
AAPL,2022-05-09 17:40:00,152.885,154.04,154.08,152.885,1740484
AAPL,2022-05-09 17:45:00,154.09,154.18,154.52,153.98,1561302
AAPL,2022-05-09 17:50:00,154.19,153.43,154.39,153.4,1337004
AAPL,2022-05-09 17:55:00,153.41,152.85,153.61,152.85,1849236
AAPL,2022-05-09 18:00:00,152.82,152.58,153.015,152.53,1992116
AAPL,2022-05-09 18:05:00,152.6,152.77,152.8,152.362,1688126
AAPL,2022-05-09 18:10:00,152.74,152.75,153.139,152.641,1368863
AAPL,2022-05-09 18:15:00,152.7,152.67,152.93,152.51,1282679
AAPL,2022-05-09 18:20:00,152.681,152.191,152.705,152.18,1203608
AAPL,2022-05-09 18:25:00,152.189,152.26,152.44,152,1567472
AAPL,2022-05-09 18:30:00,152.236,152.37,152.49,151.955,1480921
AAPL,2022-05-09 18:35:00,152.36,153.06,153.09,152.32,1287334
AAPL,2022-05-09 18:40:00,153.01,153.065,153.3,152.781,1181567
AAPL,2022-05-09 18:45:00,153.06,152.759,153.16,152.62,1015028
AAPL,2022-05-09 18:50:00,152.75,152.829,153.23,152.65,2278388
AAPL,2022-05-09 18:55:00,152.86,152.161,152.87,152.07,1303698
AAPL,2022-05-09 19:00:00,152.165,151.78,152.22,151.58,1764891
AAPL,2022-05-09 19:05:00,151.775,152.59,152.89,151.74,1759617
AAPL,2022-05-09 19:10:00,152.61,152.894,153.15,152.61,1199211
AAPL,2022-05-09 19:15:00,152.88,153.05,153.282,152.88,1063035
AAPL,2022-05-09 19:20:00,153.039,153.35,153.47,152.78,982213
AAPL,2022-05-09 19:25:00,153.4,153.266,153.48,152.943,911810
AAPL,2022-05-09 19:30:00,153.25,153.33,153.66,152.91,1094661
AAPL,2022-05-09 19:35:00,153.29,152.5,153.346,152.49,898714
AAPL,2022-05-09 19:40:00,152.5,152.56,152.735,152.46,773013
AAPL,2022-05-09 19:45:00,152.5,152.59,152.62,152.39,758512
AAPL,2022-05-09 19:50:00,152.55,152.61,152.78,152.469,790393
AAPL,2022-05-09 19:55:00,152.6,152.41,152.85,152.41,692690
AAPL,2022-05-09 20:00:00,152.41,152.61,152.82,152.345,802778
AAPL,2022-05-09 20:05:00,152.616,152.69,152.85,152.51,674381
AAPL,2022-05-09 20:10:00,152.65,152.36,152.65,152.26,789262
AAPL,2022-05-09 20:15:00,152.34,152.727,152.885,152.32,744463
AAPL,2022-05-09 20:20:00,152.7,152.75,152.79,152.54,658935
AAPL,2022-05-09 20:25:00,152.77,153.32,153.44,152.74,1128457
AAPL,2022-05-09 20:30:00,153.325,152.75,153.54,152.72,1019065
AAPL,2022-05-09 20:35:00,152.71,152.895,152.92,152.58,844691
AAPL,2022-05-09 20:40:00,152.88,153.11,153.24,152.78,1046094
AAPL,2022-05-09 20:45:00,153.1,152.965,153.22,152.77,861141
AAPL,2022-05-09 20:50:00,152.961,152.225,152.99,152.11,925028
AAPL,2022-05-09 20:55:00,152.2,152.55,152.75,152.2,889751
AAPL,2022-05-09 21:00:00,152.53,152.57,152.74,152.44,710712
AAPL,2022-05-09 21:05:00,152.58,152.378,152.65,152.22,727873
AAPL,2022-05-09 21:10:00,152.37,152.261,152.57,152.22,736246
AAPL,2022-05-09 21:15:00,152.25,152.92,152.94,152.22,883277
AAPL,2022-05-09 21:20:00,152.925,152.43,152.93,152.294,809893
AAPL,2022-05-09 21:25:00,152.43,152.18,152.45,152.06,893429
AAPL,2022-05-09 21:30:00,152.181,152.15,152.46,151.82,1432291
AAPL,2022-05-09 21:35:00,152.14,152.356,152.7,152.091,1024060
AAPL,2022-05-09 21:40:00,152.3,152.32,152.54,152.245,823333
AAPL,2022-05-09 21:45:00,152.34,152.475,153.02,152.3,983404
AAPL,2022-05-09 21:50:00,152.46,152.79,153.01,152.18,918333
AAPL,2022-05-09 21:55:00,152.795,153.05,153.19,152.795,1154929
AAPL,2022-05-09 22:00:00,153.14,153.113,153.595,152.88,1412681
AAPL,2022-05-09 22:05:00,153.09,152.955,153.61,152.78,1532134
AAPL,2022-05-09 22:10:00,152.94,153.455,153.57,152.92,1331946
AAPL,2022-05-09 22:15:00,153.43,152.91,153.588,152.875,1175256
AAPL,2022-05-09 22:20:00,152.85,152.41,152.85,152.32,1193219
AAPL,2022-05-09 22:25:00,152.4,152.38,152.535,152.132,1075779
AAPL,2022-05-09 22:30:00,152.35,152.46,152.49,152.08,1470548
AAPL,2022-05-09 22:35:00,152.47,152.52,152.63,152.225,1311601
AAPL,2022-05-09 22:40:00,152.516,152.04,152.52,151.94,1705492
AAPL,2022-05-09 22:45:00,152.03,151.89,152.19,151.75,1806182
AAPL,2022-05-09 22:50:00,151.77,151.615,152.095,151.51,3622561
AAPL,2022-05-09 22:55:00,151.64,152.19,152.55,151.64,4891555
AAPL,2022-05-09 23:00:00,152.15,152.54,152.65,152.06,10705334
AAPL,2022-05-09 23:05:00,152.51,152.61,152.93,152.06,452785
AAPL,2022-05-09 23:10:00,152.53,152.516,152.7,152.48,46236
AAPL,2022-05-09 23:15:00,152.55,152.4,152.61,152.33,33096
AAPL,2022-05-09 23:20:00,152.375,152.39,152.44,152.06,291334
AAPL,2022-05-09 23:25:00,152.4,152.25,152.43,152.06,19547
AAPL,2022-05-09 23:30:00,152.275,152.125,152.34,152.06,34957
AAPL,2022-05-09 23:35:00,152.14,152.07,152.15,152.05,27905
AAPL,2022-05-09 23:40:00,152.07,151.98,152.07,151.91,187569
AAPL,2022-05-09 23:45:00,151.96,152,152.1,151.92,119211
AAPL,2022-05-09 23:50:00,152.08,152.04,152.09,151.91,14287
AAPL,2022-05-09 23:55:00,152.045,152.05,152.06,151.97,9843
AAPL,2022-05-10 00:00:00,152.015,151.89,153.382,151.87,11019
AAPL,2022-05-10 00:05:00,151.88,151.98,152,151.88,4723
AAPL,2022-05-10 00:10:00,151.96,151.9,152,151.86,5930
